Nr.,LevelID,Name,Description,Level,Ref ID
0,2,root 2,,,
1,2.2,Optum Group Model,,Group,421-1290-0
2,2.2.1,Direct & Guide the Organization - Optum,"Establishes the mission, vision and strategy for Optum. Business development, transformation, M&A strategy. Governance of strategy execution.",GroupDomain L0,421-1293-0
3,2.2.1.1,"Establish Mission, Vision & Strategy - Optum","Establish the mission, vision and strategy of the organization.",GroupCapability L1,421-1624-0
4,2.2.1.1.1,Set Mission & Vision - Optum,Establish the mission and vision of the organization.,GroupCapability L2,421-1626-0
5,2.2.1.1.2,Manage Business Strategy - Optum,Maintain the business strategy for the organization.,GroupCapability L2,421-1627-0
6,2.2.1.1.3,Set Constituent Experience Strategy - Optum,Manage the Strategy to enhance constituent experiences with the organization.,GroupCapability L2,421-1628-0
7,2.2.1.1.4,Align to Strategy - Optum,Ensures the organization follows the strategic plan.,GroupCapability L2,421-1629-0
8,2.2.1.1.5,Govern the Strategic Plan - Optum,Manage the organization's strategic plan.,GroupCapability L2,421-1630-0
9,2.2.1.2,Manage Business Development - Optum,Maintain the business development activities.,GroupCapability L1,421-2636-0
10,2.2.1.2.1,Analyze Market Opportunities - Optum,Review the market and determine if there are business development opportunities available.,GroupCapability L2,421-2639-0
11,2.2.1.2.2,Develop Market Strategies - Optum,Assess the business and create strategies based on the market.,GroupCapability L2,421-2640-0
12,2.2.1.2.3,Evaluate Product / Service Viability - Optum,Perform an assessment of the product or service to determine how well known it is in the marketplace.,GroupCapability L2,421-2641-0
13,2.2.1.2.4,Launch New Product / Service - Optum,Setup new product or service.,GroupCapability L2,421-2643-0
14,2.2.1.2.5,Perform M&A Due Diligence - Optum,Complete Merger & Acquisition Due Diligence Activities,GroupCapability L2,421-2644-0
15,2.2.1.2.6,Manage Product Portfolio Strategy - Optum,Maintain a portfolio of products and their strategies.,GroupCapability L2,421-2642-0
16,2.2.1.3,Manage Business Transformation - Optum,"Manage the business transformation scope, stakeholders, transformation and plan.",GroupCapability L1,421-2637-0
