Nr.,LevelID,Name,Description,Level,Ref ID
1,1,UnitedHealth Group Enterprise Model,,Enterprise,421-1291-0
2,1.1,Direct and Guide the Organization - UHG,,EnterpriseDomain L0,421-6229-0
3,1.1.1,Strategic Direction and Management - UHG,,EnterpriseCapability L1,421-6258-0
4,1.1.2,"Investment, Innovation and Expansion - UHG",,EnterpriseCapability L1,421-6259-0
5,1.1.3,"Mergers, Acquisitions & Migrations - UHG",,EnterpriseCapability L1,421-6260-0
6,1.1.4,"Quality, Risk, and Performance Management - UHG",,EnterpriseCapability L1,421-6261-0
7,1.2,Product Management - UHG,,EnterpriseDomain L0,421-6198-0
8,1.2.1,Product Strategy - UHG,,EnterpriseCapability L1,421-6223-0
9,1.2.2,Product Development - UHG,,EnterpriseCapability L1,421-6224-0
10,1.2.3,Product Pricing - UHG,,EnterpriseCapability L1,421-6225-0
11,1.2.4,Product Deployment - UHG,,EnterpriseCapability L1,421-6226-0
12,1.2.5,Product Portfolio Management - UHG,,EnterpriseCapability L1,421-6227-0
13,1.2.6,Product Analytics - UHG,,EnterpriseCapability L1,421-6228-0
14,1.3,Demand Management - UHG,,EnterpriseDomain L0,421-6199-0
15,1.3.1,Marketing - UHG,,EnterpriseCapability L1,421-6254-0
16,1.3.2,Sales - UHG,,EnterpriseCapability L1,421-6255-0
17,1.3.3,Underwriting - UHG,,EnterpriseCapability L1,421-6256-0
18,1.3.4,Demand Data Analytics - UHG,,EnterpriseCapability L1,421-6257-0
19,1.4,Customer Management - UHG,,EnterpriseDomain L0,421-6200-0
20,1.4.1,Account Management - UHG,,EnterpriseCapability L1,421-6230-0
21,1.4.2,Account Implementation - UHG,,EnterpriseCapability L1,421-6231-0
22,1.4.3,Customer Billing & Accounts Receivable Management - UHG,,EnterpriseCapability L1,421-6232-0
23,1.5,Member Management - UHG,,EnterpriseDomain L0,421-6201-0
24,1.5.1,Enrollment - UHG,,EnterpriseCapability L1,421-6233-0
25,1.5.2,Eligibility - UHG,,EnterpriseCapability L1,421-6234-0
26,1.5.3,Member Analytics - UHG,,EnterpriseCapability L1,421-6235-0
27,1.6,Claims Management - UHG,,EnterpriseDomain L0,421-6192-0
28,1.6.1,Claims Intake - UHG,,EnterpriseCapability L1,421-6193-0
29,1.6.2,Claims Validation - UHG,,EnterpriseCapability L1,421-6194-0
30,1.6.3,Claims Adjudication - UHG,,EnterpriseCapability L1,421-6195-0
31,1.6.4,Claims Post-Processing and Settlement - UHG,,EnterpriseCapability L1,421-6196-0
32,1.6.5,Cost Management - UHG,,EnterpriseCapability L1,421-6197-0
33,1.7,United Clinical Services - UHG,United Clinical Services part of CDM,EnterpriseDomain L0,421-5468-0
34,1.7.1,Health Measurements & Analytics - UCS,"The goal of Manage Measurements & Analysis is to achieve the best outcome at the lowest cost. This is achieved by: 1) Identify health risk and opportunities for individuals & groups. 2) Identify financial risks within the health care system and look for ways to reduce cost and optimizing revenue. 3) Manage risk related to quality in the healthcare system. We do this by focusing on Compliance, Performance and Effectiveness.

Clinical Measurement and Reporting largely consists of the categories below:

Performance
- Product performance
- Program performance
- Financial performance
- Operational performance
- Provider performance
- HEDIS/Stars

Clinical Reporting
- Longitudinal record or period over period

Effectiveness
- Clinical effectiveness
- Program effectiveness
- Consumer Engagement and Program Enrollment",EnterpriseCapability L1,421-5538-0
35,1.7.1.1,Health Assessments - UCS,"Assessment of an individual’s health profile. This results in something measurable in order to have a score that can be utilized. Evaluation may be done via surveys / interviews or in person. 
Assessments can be:
- Generalities around the health of member populations proactively, prior to any services rendered, physician visits or claims. 
- Efforts to assess an individual's profile. 
- Observational assessments.
- Efforts to identify members at the highest risk for not receiving beneficial services.",EnterpriseCapability L2,421-5547-0
36,1.7.1.1.1,Self Reported Assessment - UCS,"Member self-service assessments, such as Rally individual assessments.",EnterpriseCapability L3,421-5551-0
37,1.7.1.1.2,Fluid Analysis Assessment - UCS,Lab results for test for blood and urine tests performed by clinical professional. Results would be used to make assessments of member health.,EnterpriseCapability L3,421-5552-0
38,1.7.1.1.3,Observation Assessment - UCS,Professional Services assessment either field based or clinical telephonic supported. Looking at behavioral or Medical.,EnterpriseCapability L3,421-5553-0
39,1.7.1.2,Health Risk Identification - UCS,"Identify health risk and opportunities for individuals & groups, create consumer health risk score, and develop strategy based on consumer health risk.

The use of clinical rules to identify conditions, health risks, and opportunities for health improvement or management. These rules are applied to individuals. Stratification and Segmentation rules are used to group individuals into different categories. These groups are then used to target and engage with individuals into intervene and prevention programs.

The purpose of the ID/Strat business capability is to Identify health risks and opportunities for individuals & groups, create consumer health risk scores, and develop stratifications based on consumer health risk. We then determine whether to engage with the Provider, or the Consumer directly, to address risks and opportunities.",EnterpriseCapability L2,421-5548-0
40,1.7.1.2.1,Identify Consumer Health Risk - UCS,Identify Consumer Health Risk,EnterpriseCapability L3,421-5555-0
41,1.7.1.2.2,Consumer Health Risk Score Creation - UCS,"Identify health risk and opportunities for individuals & groups, create consumer health risk score, and develop strategy based on consumer health risk.

The use of clinical rules to identify conditions, health risks, and opportunities for health improvement or management. These rules are applied to individuals. Stratification and Segmentation rules are used to group individuals into different categories. These groups are then used to target and engage with individuals into intervene and prevention programs.

The purpose of the ID/Strat business capability is to Identify health risks and opportunities for individuals & groups, create consumer health risk scores, and develop stratifications based on consumer health risk. We then determine whether to engage with the Provider, or the Consumer directly, to address risks and opportunities.",EnterpriseCapability L3,421-5556-0
42,1.7.1.2.3,Consumer Health Risk Stratification - UCS,"Identify health risk and opportunities for individuals & groups, create consumer health risk score, and develop strategy based on consumer health risk.The use of clinical rules to identify conditions, health risks, and opportunities for health improvement or management. These rules are applied to individuals. Stratification and Segmentation rules are used to group individuals into different categories. These groups are then used to target and engage with individuals into intervene and prevention programs.The purpose of the ID/Strat business capability is to Identify health risks and opportunities for individuals & groups, create consumer health risk scores, and develop stratifications based on consumer health risk. We then determine whether to engage with the Provider, or the Consumer directly, to address risks and opportunities",EnterpriseCapability L3,421-5557-0
43,1.7.1.3,Quality Measures - UCS,"Identify health risk and opportunities for individuals & groups, create consumer health risk score, and develop strategy based on consumer health risk.

The use of clinical rules to identify conditions, health risks, and opportunities for health improvement or management. These rules are applied to individuals. Stratification and Segmentation rules are used to group individuals into different categories. These groups are then used to target and engage with individuals into intervene and prevention programs.

The purpose of the ID/Strat business capability is to Identify health risks and opportunities for individuals & groups, create consumer health risk scores, and develop stratifications based on consumer health risk. We then determine whether to engage with the Provider, or the Consumer directly, to address risks and opportunities.",EnterpriseCapability L2,421-5549-0
44,1.7.1.3.1,Gaps In Care - UCS,Gaps in care for patient based on STARS data.,EnterpriseCapability L3,421-5559-0
45,1.7.1.3.2,Regulatory Measurements - UCS,"This includes methods for measuring the success and quality of Optum programs.

Identification and Managing quality supporting Optum business (LCD, (Accreditation(of practices)), Optimize Impact to revenue/cost tied to CMS guidelines or contractual requirements .i.e. SLA's.",EnterpriseCapability L3,421-5561-0
46,1.7.1.4,Predictive Models - UCS,The Predictive and Prospective models created that enable the business to predict future Health and Financial risks.,EnterpriseCapability L2,421-5911-0
47,1.7.1.4.1,Predict Future Health Risk - UCS,Health avoidance based on previous utilization.,EnterpriseCapability L3,421-5913-0
48,1.7.1.4.2,Predict Future Financial Risk - UCS,Financial avoidance based on previous utilization.,EnterpriseCapability L3,421-5914-0
49,1.7.1.5,Clinical Studies And Publications - UCS,"Ability to submit clinical outcome studies to peer reviews and rework based on provided input. Reviewed studies are consequently published to the broader scientific community. This capability boslters Orx credibility in the market place and supports the sales of clinical programs

Best Practices and knowledge sharing of providers across facility networks.",EnterpriseCapability L2,421-5912-0
50,1.7.2,Care Delivery - UCS,"Manage the various care delivery options, medical records, physician scheduling, practice financials, health system wide integration, and decision support.",EnterpriseCapability L1,421-5539-0
51,1.7.2.1,Patient Care - UCS,"The delivery of care to a patient/member via multiple avenues and/or practices.

Ex.
- Hospital, physician’s office
- Urgent or emergent care setting
- Ancillary care provider.",EnterpriseCapability L2,421-5563-0
52,1.7.2.1.1,Urgent And Emergency Care - UCS,"""Urgent care"" - Medical care and services provided, typically in an urgent care center, to people with urgent but not serious medical problems

""Emergency care"" means the performance of acts or procedures under emergency conditions in the observation, care and counsel of persons who are ill or injured or who have disabilities; in the administration of care or medications as prescribed by a licensed physician, insofar as any of these acts is based upon knowledge and application of the principles of biological, physical and social science as required by a completed course utilizing an approved curriculum in pre-hospital emergency care. However, ""emergency care"" does not include acts of medical diagnosis or prescription of therapeutic or corrective measures.",EnterpriseCapability L3,421-5608-0
53,1.7.2.1.2,Acute Care - UCS,"Acute care is a branch of secondary health care where a patient receives active but short-term treatment for a severe injury or episode of illness, an urgent medical condition, or during recovery from surgery. In medical terms, care for acute health conditions is the opposite from chronic care, or longer term care.",EnterpriseCapability L3,421-5609-0
