Nr.,LevelID,Name,Description,Level,Ref ID
0,3,M_R_Capability_Model,,,
1,3.2,UnitedHealthcare - M&R,,Segment,421-7-0
2,3.2.1,Direct and Guide the Organization - M&R,,Domain L0,421-679-0
3,3.2.1.1,"Establish Mission, Vision and Strategy - M&R",,Capability L1,421-689-0
4,3.2.1.1.1,Set Mission & Vision - M&R,Create and update the mission which describes the overall purpose of the organization. Foresee an organization that includes the strategic and operational changes that leaders require and demand.,Capability L2,421-731-0
5,3.2.1.1.2,Strategy Formation - M&R,,Capability L2,421-732-0
6,3.2.1.1.3,Member Experience Strategy - M&R,Establish and operationalize a member-centric focus and culture in order to provides an integrated experience throughout the member lifecycle,Capability L2,421-733-0
7,3.2.1.1.4,Align to Strategy - M&R,Identify the key initiatives that are aligned to the business strategies.  Set performance targets related to the strategies that have been established and ensure that the key business initiatives will result in accomplishment of the desired performance goals.  Identify programs that will support the key business initiatives and put in place the funding and resources needed to accomplish them.,Capability L2,421-734-0
8,3.2.1.1.5,Governance of Strategic Plan - M&R,,Capability L2,421-735-0
9,3.2.1.2,New Business Development - M&R,,Capability L1,421-690-0
10,3.2.1.2.1,Analyze Market Opportunities - M&R,,Capability L2,421-736-0
11,3.2.1.2.2,Develop Market Strategies - M&R,"Market strategy development requires that we understand the market dynamics framed up in the analysis phase of business development. This requires industry expertise and experience. 
Unique strategic approaches are developed taking into account our internal strength and weaknesses compared to those of our competitors in the market space. Innovation is a key capability that must be consciously developed as we mature our ability to generate go-to-market strategies.
Strategic partnerships and build/buy decisions are also analyzed as a part of this capability. Factors that influence these decisions may be based on risk, readiness, and fit.",Capability L2,421-737-0
12,3.2.1.2.3,Evaluate New Product/ Service Viability - M&R,"Once opportunities have been chosen and a strategic market position has been agreed upon, tactical business plans are created to pilot new business ideas in selected markets. Goals are set and measurements are taken to ensure that assumptions about market opportunity and product/service viability are fully tested.
A formal review of performance over an agreed upon period of time is conducted to determine the success/failure of the pilot. Changes to the new business may be offered at this time, along with a second test of the pilot.
Once the Pilot has completed it’s intended scope, a formal decision making process is invoked to determine whether or not the new product or service is viable. Determinations are made and documented via a structured decision making process.",Capability L2,421-738-0
