Nr.,LevelID,Name,Description,Level,Ref ID
1,2.1,UnitedHealthcare Group Model,,Group,421-1289-0
2,2.1.1,Direct and Guide the Organization - UHC,"Direct and Guide the Organization domain contains capabilities for setting the direction and governing alignment to the mission and vision of UHC business. It includes directions for expanding and innovating the business, mergers and acquisitions along with business transformation and establishing quality and risk criteria.",GroupDomain L0,421-1378-0
3,2.1.1.1,Strategic Direction and Management - UHC,"Strategic Direction & Management capability provides overall direction to the enterprise and involves specifying the organization's objectives, developing policies and plans designed to achieve these objectives, and then allocating resources to implement the plans.",GroupCapability L1,421-1380-0
4,2.1.1.1.1,"Mission, Vision & Strategy - UHC","Explains the organization's reason for existence, describes the organization as it would appear in a future successful state and how to achieve that state.",GroupCapability L2,421-1381-0
5,2.1.1.1.2,Business Transformation - UHC,"Involves making changes in how business is conducted in order to become more efficient, get ahead of market competition, and adapt to new products in the market, regulations, laws and funding.",GroupCapability L2,421-1382-0
6,2.1.1.1.3,Governance - UHC,"Implementation of corporate governance principles to ensure standards of integrity, accountability and performance are applied to all aspects of operations.",GroupCapability L2,421-1383-0
7,2.1.1.2,Innovation and Expansion - UHC,"Innovation and Expansion capability focuses on providing guidance to the enterprise for innovation to improve the product/service and business model and for expansion to achieve high growth by broadening scope of operations, customer groups/ functions and technology alternatives. The ability to innovate and to bring innovation successfully to the market is a crucial determinant of the global competitiveness.",GroupCapability L1,421-1384-0
8,2.1.1.2.1,Market Analysis - UHC,"Research and analysis of industry products, competitors and trends.",GroupCapability L2,421-1385-0
9,2.1.1.2.2,Research & Development - UHC,"Efforts directed toward innovation, introduction, discovery and improvement of products and processes.",GroupCapability L2,421-1386-0
10,2.1.1.2.3,New Opportunity Evaluation - UHC,Investigation and evaluation of business opportunities and their potential risks and rewards.,GroupCapability L2,421-1387-0
11,2.1.1.2.4,New Offering Launch - UHC,Efforts leading up to and including the announcement and introduction of a new product or service into the market,GroupCapability L2,421-1388-0
12,2.1.1.3,"Mergers, Acquistions & Migrations - UHC","As an aspect of strategic management, Merger & Acquisition capability sets the directions for the enterprises to grow, shrink, change the nature of business or improve competitive position by legal consolidation of two or more entities into one or by taking ownership of another entity's stock, equity interests or assets. Migrations capability includes all migration related activities from legacy to target platforms.",GroupCapability L1,421-1389-0
13,2.1.1.3.1,Due Diligence - UHC,Evaluation of financial and legal risks prior to entering into a final agreement or before outlaying capital.,GroupCapability L2,421-1390-0
14,2.1.1.3.2,Acquisition Integration - UHC,"The ability to streamline operations by standardizing on common processes, technologies and offerings as organizations combine.",GroupCapability L2,421-1391-0
15,2.1.1.3.4,Migration Strategy & Planning - UHC,"Capability includes development of migration strategy, setting scope and determining impacts, managing migration planning and scheduling",GroupCapability L2,421-6052-0
16,2.1.1.3.5,Migration Implementation - UHC,"Capability includes implementing the migration related activities, such as triggering and executing migration, monitoring, tracking and auditing migration activities and resolving any migration errors.",GroupCapability L2,421-6053-0
17,2.1.1.3.6,Migration Metrics & Reporting - UHC,Capability includes generating migration related metrics and reporting.,GroupCapability L2,421-6054-0
18,2.1.1.4,"Quality, Risk and Performance Management - UHC","Quality, Risk and Performance Management capability encompasses strategies and guidance for establishing the quality standards of the company in terms of product, services, and customer experience; standards for identifying, and mitigating all types of risk that can impact quality (financial, security, compliance, product, operational etc.) and setting expectations of the performance of the workforce to deliver on pre-set quality standards.",GroupCapability L1,421-1392-0
19,2.1.1.4.1,Quality Management - UHC,Ensuring high standards in order to meet the requirements of the customer.  Includes identifying deficiencies and improving processes.,GroupCapability L2,421-1393-0
20,2.1.1.4.2,Risk Management - UHC,"Forecasting and evaluating enterprise, operational and financial risks along with development of procedures to minimize risk.",GroupCapability L2,421-1394-0
21,2.1.1.4.3,Performance Management - UHC,"Focuses on the performance of an organization, department, employee or process.  Includes setup of and measurement toward goals and objectives.",GroupCapability L2,421-1395-0
22,2.1.2,Product Management - UHC,"The overall goal of Product and Innovation is to develop innovative new products and manage existing products throughout the product lifecycle to support the growth and retention of UnitedHealthcare membership. This includes developing product strategy, identifying customer needs, building and launching new product solutions to meet those needs at both the national and local levels, and managing the product portfolio from launch to mature through to decline.",GroupDomain L0,421-1396-0
23,2.1.2.1,Product Strategy - UHC,"Product strategy capability identifies and established plan offering strategy, market strategy and pricing strategy",GroupCapability L1,421-1401-0
24,2.1.2.1.1,Plan Offering Strategy - UHC,"Development of short-term and long-term product strategies, after taking into consideration factors such as  current market place offerings, feedback from brokers/agents,  competitive intelligence, executive vision, synthesis of external/internal ideas, and internal system/process constraints",GroupCapability L2,421-1402-0
25,2.1.2.1.2,Market Strategy - UHC,Development of market specific planning strategy,GroupCapability L2,421-1403-0
26,2.1.2.1.3,Pricing Strategy - UHC,"Development of Pricing strategy based on ""what-if"" pricing analysis. Analysis drivers might include new products, market expansions, healthcare reform, price increase analysis, regulatory change analysis, distribution cost and competitor pricing.",GroupCapability L2,421-1404-0
27,2.1.2.2,Product Development - UHC,"Product Development capability develops product and plans for the market through a series of steps that include the conceptualization, design, development and test.",GroupCapability L1,421-1405-0
28,2.1.2.2.1,Draft Plan Design - UHC,"Development of the benefit plan design based on Plan Offering and market strategies, includes finalizing the plan options, carve-outs and add-ins.",GroupCapability L2,421-1406-0
29,2.1.2.2.2,Benefit Plan Configuration - UHC,"Assess benefit components , create/modify components based on assessment, assemble the benefit plan components and assign business rules.",GroupCapability L2,421-1407-0
30,2.1.2.2.3,Regulatory Submission & Approval - UHC,Preparation and filing of plans for regulatory approval.  Includes bid and rebid processes.,GroupCapability L2,421-5204-0
31,2.1.2.2.4,"Implementation, Oversight & Coordination - UHC","Develop product requirements, develop products/plans, develop test cases and execute end to end testing.",GroupCapability L2,421-5205-0
32,2.1.2.2.5,Operational Readiness - UHC,"Develop operational readiness and communication materials, assess training needs and prepare training materials.",GroupCapability L2,421-5206-0
33,2.1.2.2.6,Guardrail Management - UHC,"Guardrail Management capability includes the ability to create, update and delete guardrails. 

Guardrails are 

•	Federal and State regulations and UHG guidelines for defining what we offer for sale and how we must present our product/plan offerings.
•	They are very detailed rules that represent benefit details.  
•	Guardrails can be at various levels including Product, License Type (Insurance vs. HMO),  Funding Type, Line of Business, Business Segment, Plan, Plan Benefit, Cost Share, Visit Limits and more)
•	Guardrails can be simple (Essential Health Benefit Y/N) or Complex (OOPM can only be 2X the amount of the Deductible)",GroupCapability L2,421-5221-0
34,2.1.2.3,Product Pricing - UHC,"Product Pricing  capability focuses on setting the price of product or services of UHC and includes creating the initial rates, obtaining internal and external approval and finalization of rates. This is a crucial capability as it is the foundation of the prosperity of our business",GroupCapability L1,421-3387-0
35,2.1.2.3.1,Draft Rates Creation - UHC,"Develop draft rates after conducting base rate analysis, evaluation of Claims & Expense and network pricing impacts",GroupCapability L2,421-1427-0
36,2.1.2.3.2,Internal Rates Approval - UHC,Develop actuarially appropriate rates and obtain approval,GroupCapability L2,421-5207-0
37,2.1.2.3.3,Rates Finalization - UHC,Finalize product pricing and create rate filing documentation,GroupCapability L2,421-5208-0
38,2.1.2.4,Product Deployment - UHC,"Product Deployment capability includes product release activites, along with training and communications associated with the product launch.",GroupCapability L1,421-1408-0
39,2.1.2.4.1,Product Launch - UHC,Benefit plan component set-up and updates to reflect changes in all impacted systems and supporting functions.,GroupCapability L2,421-1409-0
40,2.1.2.4.2,Product Communication & Training - UHC,Preparation and integration of operational support for benefit plan offerings,GroupCapability L2,421-1410-0
41,2.1.2.5,Product Portfolio Management - UHC,"Product Portfolio management is a dynamic capability wherein the new products are constantly evaluated, selected, and prioritized, existing projects are accelerated, killed, or de-prioritized and resources are allocated (or reallocated) to the active projects. When matured, this is a high impact, high value capability that can help us maximize the return on product innovation investments , improve/ maintain competitive position, and achieve efficient and effective allocation of resources.",GroupCapability L1,421-1411-0
42,2.1.2.5.1,Product Lifecycle Management - UHC,"The capabilities to manage the existing product portfolio are already covered under other capabilities such Product Portfolio Analysis, Product Development, Pricing & Deployment. This capability focuses on any products and plans that need to be sunset as part of existing product portfolio management. Includes developing product retirement strategy and discontinuing products/plans.",GroupCapability L2,421-1412-0
43,2.1.2.6,Product Analytics - UHC,"Product Analytics capability focuses on evaluating product (and its defects), identify opportunities for product improvements, detect patterns in usage or capacity of products, and link all these factors to customers. This capability includes competitive intelligence analysis, portfolio analysis and reporting",GroupCapability L1,421-1397-0
44,2.1.2.6.1,Competitive Intelligence Analysis - UHC,"Collection of the data and analysis of product opportunities based on rates and market trends, feedback from Agents/Brokers, competitor offerings/prices in a market etc.",GroupCapability L2,421-1398-0
45,2.1.2.6.2,Portfolio Analysis - UHC,Analysis of the existing product performance and competitiveness,GroupCapability L2,421-1399-0
46,2.1.2.6.3,Product Reporting - UHC,"Reporting on product performance for operational, Regulatory and compliance purposes",GroupCapability L2,421-1400-0
47,2.1.3,Demand Management - UHC,"Demand Management domain encompasses all aspects of sales, marketing and the distribution channel. The mission of this domain is to accelerate growth, build our brand, and enhance our leadership and impact in the marketplace. This domain develops and drives the strategic plan and develops go to market plans that drive the revenue and margin model. Key focus areas are analyzing the market, deploying strategic growth initiatives, selling products and services to customers, and supporting our sales force and broker performance.",GroupDomain L0,421-1414-0
48,2.1.3.1,Marketing & Sales Strategy - UHC,"Marketing and Sales Strategy capability focuses on market and sales research which enables development of strategies to create customers for sales to sell.  By understanding the strategy drivers, this capability supports development of brand and promotion strategy and Consumer, Employer, and Broker engagement to drive new business and customer retention.",GroupCapability L1,421-1415-0
49,2.1.3.1.1,Marketing Strategy - UHC,Strategies for identifying and prioritizing market opportunities for each product.,GroupCapability L2,421-1418-0
50,2.1.3.1.2,Sales Strategy - UHC,"Definition of goals, objectives and strategies for optimizing sales outcomes across products and channels",GroupCapability L2,421-1419-0
51,2.1.3.1.3,Distribution Channel Strategy - UHC,Development of Strategy based on distribution channels.Distribution Channels have distinctly different factors that need to be considered.,GroupCapability L2,421-5268-0
52,2.1.3.2,Marketing Implementation - UHC,"Marketing implementation is successfully implementing the marketing  and sales strategies. It consists of three phases: planning, execution and control. When created effectively, this capability ensures the success of an organization’s marketing strategy.",GroupCapability L1,421-1420-0
53,2.1.3.2.1,Marketing Planning - UHC,"Campaign design including  brand management, national and local campaigns and events. Includes designing advertisement materials and marketing communications.",GroupCapability L2,421-1421-0
54,2.1.3.2.2,Marketing Execution - UHC," Develop marketing forecast, implementation of marketing campaigns and advertisement marketing.",GroupCapability L2,421-1422-0
55,2.1.3.2.3,Marketing Management & Optimization - UHC,Marketing Management & Optimization,GroupCapability L2,421-1423-0
56,2.1.3.3,Sales Channel Management - UHC,"Sales channel management capability is end to end management of distribution channels including hiring,  certifying and on boarding producers.    Producer relationship management is a key part of this capability to drive motivation and includes providing necessary information and materials for training, coaching, and on-going education. This capability monitors producers’ performance in terms of delivery and quality and reimburses them based on performance.",GroupCapability L1,421-1430-0
57,2.1.3.3.1,Onboarding - UHC,"Selection, preparation and certification of agents and onboarding process necessary to enable the sales channels",GroupCapability L2,421-1431-0
58,2.1.3.3.2,"Education, Support & Oversight - UHC",Training & monitoring to ensure compliance and adherence to brand and product guidelines,GroupCapability L2,421-1432-0
59,2.1.3.3.3,Productivity Management & Reimbursement - UHC,"Includes sales tracking, reporting and recognition plus development and reimbursement for performance-based compensation plans",GroupCapability L2,421-1433-0
60,2.1.3.4,Sales Execution - UHC,"Sales execution capability encompasses all pre-sales, sales and post-sales activities. These activities include following up on leads, working with UW and customer to generate proposals, finalizing customer plan and options, attending calls/meetings, negotiating and closing the deal",GroupCapability L1,421-1434-0
61,2.1.3.4.1,Group Sales - UHC,"Sales acquisition of group accounts includes Identification and qualification of groups, proposal development and RFP response and contract negotiation.  Focuses on the “first sale” to groups",GroupCapability L2,421-1435-0
62,2.1.3.4.1.1,Quote Development & Finalization (Sales),,GroupCapability L3,421-6397-0
63,2.1.3.4.1.2,Prospect Management,,GroupCapability L3,421-6398-0
64,2.1.3.4.2,Individual Sales - UHC,"Acquisition of individual accounts includes lead management, broker assignment, sales related events and application submission.",GroupCapability L2,421-1436-0
65,2.1.3.5,Account Management - UHC,"Account management capability includes  providing customer support, technical support,  and planning and development of the account.  This capability supports the renewal process as well as managing off cycle and other changes in the plan and preferences. Managing relations with the customer is key in this capability with the goal of creating loyalty.  Key components of maintaining that relationship is responding to customer inquires, researching and resolving inquiries, providing reporting, and following up with the customer.",GroupCapability L1,421-1438-0
66,2.1.3.5.1,Account Relationship Management - UHC,Encompasses proactive management of the customer  experience across all touch points with customers,GroupCapability L2,421-1439-0
67,2.1.3.5.2,Account Services Management - UHC,Includes updating plan design and deliverables and developing and implementing renewal contracts,GroupCapability L2,421-1440-0
68,2.1.3.6,Underwriting - UHC,"This capability includes all UW activities to evaluate risk for insuring a person/ population or assets and use this information to calculate the premium of a policy. The primary function of this area is to protect the company's book of business from risks and issue insurance policies at a premium that is commensurate with the exposure presented by a risk. Functions in this capability include evaluating health and financial risk factors,  producing rates, providing sales support, audits and reporting.",GroupCapability L1,421-5216-0
69,2.1.3.6.1,Risk Assessment & Rating - UHC,"Includes evaluating health and financial risk, providing sales support, ASO reconciliations, producing manual/book rates, reviewing the cases and proving approvals.",GroupCapability L2,421-5217-0
70,2.1.3.6.2,Underwriter Audit & Support - UHC,"Includes internal/external audits, and internal support activities like training, policies & procedures, business analysis, rate tool development, staff modeling, budget management etc.",GroupCapability L2,421-5218-0
71,2.1.3.6.3,Book Of Business Management - UHC,"Includes financial reporting, forecasting and modeling",GroupCapability L2,421-5219-0
72,2.1.3.7,Demand Management Data Analytics & Reporting - UHC,"Data Analytics & Reporting capability utilizes business intelligence (BI), advanced analytics,  and data mining to see and understand demand management data.  BI  provides the consistent metrics to measure past performance and guide business planning.  It includes the aggregation, analysis, and visualization of data to inform,  facilitating business management and strategizing.  Advanced analytics is used to predict future events and data mining discovers patterns which cannot be detected otherwise.  These activities also generate standard and ad- hoc reports for the Demand Management functional areas.",GroupCapability L1,421-5269-0
73,2.1.3.7.1,Data Collection & Storage - UHC,"Collection, cleaning, formatting and storing data related to demand management (sales, ,marketing, UW and HCE).",GroupCapability L2,421-1416-0
74,2.1.3.7.2,Data Analysis - UHC,"Analysis of the data for demand management (Sales, Marketing, UW and HCE).",GroupCapability L2,421-1417-0
75,2.1.3.7.3,Standard & Ad Hoc Reporting - UHC,"Creating adhoc (one time) and standard reports for demand management (Sales, Marketing, UW and HCE).",GroupCapability L2,421-1425-0
76,2.1.4,Account Implementation - UHC,"Account Implementation establishes the customer’s account in our system and organizes the information necessary to operate products, plans and services for our customers. This domain contains capabilities that start after sale is final and end once the account is service ready.   The information gathered to install a customer goes through a rigorous Quality Assurance review.  Functions include working with customer to identify preferences, identifying and establishing tasks and time lines for downstream partners, resolving issues, and sending appropriate fulfillment material.",GroupDomain L0,421-1442-0
77,2.1.4.1,Account Setup & Maintenance - UHC,"This capability encompasses consuming customer's order information, setting up the account and integrating with the downstream operational areas/applications so the policy is administered accurately end to end. It also accounts for making necessary changes in customers' account upon renewals and on as needed basis.",GroupCapability L1,421-1447-0
78,2.1.4.1.1,Customer Requirement Setup & Maintenance - UHC,"Set up and maintain the customer in internal systems with their name, Tax ID, Organizational type, SITUS, GL code and market segment etc. Also includes setting up customer contacts like address, telephone, fax, email, contact representative information. 
Performing quality checks and audits to ensure the benefits are built and associated accutrately to the customer  so claims are processes correct.",GroupCapability L2,421-1448-0
79,2.1.4.1.1.1,Customer Demographics Setup & Maintenance - UHC,"Capture, validation and maintenance of an organization's or individual's demographic data.",GroupCapability L3,421-5173-0
80,2.1.4.1.1.2,Customer Contact Setup & Maintenance - UHC,"Capture, validation and maintenance of an organization's or individual's contact information. An organization may have any number of internal and external contacts based on product, line of business, segment, etc.",GroupCapability L3,421-5174-0
81,2.1.4.1.1.3,Customer Preferences Setup & Maintenance - UHC,"Set up and maintain an organization's or individual's preferences for billing (billing structure, schedule rules and delivery method), rates, funding/banking (bank account information), reporting (type and frequency), eligibility  (paper/electronic, frequency, etc. both on-going and during enrollment.), ID cards (rules that require the issuance of new cards and provide the ability to request additional cards), performance guarantee, coordination of benefits, prior claims history, etc.",GroupCapability L3,421-5175-0
82,2.1.4.1.2,Customer Plan Setup & Maintenance - UHC,Customer Plan Setup & Maintenance capability focuses on associating customer's plan to the policy and ensuring that the benefits are accessible by the customer/member and internal areas. It also includes end to end quality audit to ensure the benefits are built and associated accurately to the customer.,GroupCapability L2,421-1449-0
83,2.1.4.1.2.1,Plan Benefits Configuration - UHC,"Set up and maintain plan options, riders, standard and custom configuration and special processing for the customer.",GroupCapability L3,421-5164-0
84,2.1.4.1.2.2,Plan Associations Setup and Maintenance - UHC,Associate customer group plans to the contract and maintain group plan associations. This ensures that eligibility is tied to correct plans and legal documents are issued to the policy holder and certificate of coverage provided to enrollee.,GroupCapability L3,421-5172-0
85,2.1.4.1.3,Fulfillment Material Production - UHC,Fulfillment Material Production capability is the trigger for generating the customer level fulfillment material. It also includes creating and finalizing the customer specific language for the fulfillment material,GroupCapability L2,421-1450-0
